City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yerbogachen,61.2767,108.0108,-16.113999999999983,100,99,0.88,RU,1675609348
1,visnes,59.3556,5.2242,45.21200000000006,81,40,2.06,NO,1675609349
2,alofi,-19.0595,-169.9187,76.892,94,100,1.03,NU,1675609350
3,vaini,-21.2,-175.2,79.34000000000002,78,44,3.99,TO,1675609350
4,lagoa,39.05,-27.9833,59.378000000000064,83,69,9.55,PT,1675609353
5,rikitea,-23.1203,-134.9692,78.42200000000004,76,4,7.0,PF,1675609355
6,souillac,-20.5167,57.5167,82.77800000000006,78,40,3.09,MU,1675609356
7,airai,-8.9266,125.4092,60.8,93,100,0.78,TL,1675609357
8,luderitz,-26.6481,15.1594,72.08600000000007,65,3,13.52,NA,1675609357
9,provideniya,64.3833,-173.3,0.9320000000000164,96,100,4.15,RU,1675609358
10,ushuaia,-54.8,-68.3,44.22200000000004,81,100,14.4,AR,1675609283
11,mataura,-46.1927,168.8643,58.24400000000007,78,100,2.51,NZ,1675609358
12,sakakah,29.9697,40.2064,63.96800000000009,29,95,2.87,SA,1675609359
13,bredasdorp,-34.5322,20.0403,76.01000000000008,62,88,6.73,ZA,1675609361
14,albany,42.6001,-73.9662,30.812000000000058,60,100,2.24,US,1675609201
15,evensk,61.95,159.2333,-16.00599999999998,78,21,3.73,RU,1675609362
16,butaritari,3.0707,172.7902,80.40200000000007,82,77,8.15,KI,1675609362
17,grand baie,-20.0182,57.5802,82.86800000000008,76,65,2.24,MU,1675609064
18,makakilo city,21.3469,-158.0858,72.01400000000004,84,20,2.06,US,1675609363
19,punta arenas,-53.15,-70.9167,50.108000000000004,53,0,17.49,CL,1675609163
20,ola,59.5833,151.2833,-15.501999999999974,87,56,3.95,RU,1675609364
21,kampot,10.6167,104.1833,73.45400000000005,72,41,0.85,KH,1675609365
22,cape town,-33.9258,18.4232,79.12400000000001,70,40,10.29,ZA,1675609223
23,rawson,-43.3002,-65.1023,87.18800000000005,23,7,10.96,AR,1675609305
24,saurimo,-9.6608,20.3916,65.67800000000007,91,89,3.39,AO,1675609365
25,erenhot,43.6475,111.9767,16.7,51,23,1.39,CN,1675609366
